application,application total,1/1/2025,2/1/2025,3/1/2025,4/1/2025,5/1/2025,6/1/2025,7/1/2025,8/1/2025
Production-Dataverse($),1063.417745,,,,0.274431627,347.3299798,268.0647862,292.2893828,155.4591649
Potree($),979.201817,244.8676589,244.2583243,245.0086705,245.0671634,,,,
Dataverse-production($),926.8623677,221.720535,217.2935801,235.0993413,252.7489113,,,,
Dataverse-Production($),924.3867829,116.8736886,120.5406259,119.1389266,120.9174662,121.2990923,118.1762003,123.990415,83.45036793
Potree-storage($),893.4905422,,,,0.001042186,243.2220861,242.8263521,241.9647776,165.4762841
No tag key: application($),782.419584,261.0165634,251.7848505,251.7448851,219.1995185,-55.01819713,-62.6414418,-90.74951221,7.082917687
Test-Dataverse($),330.4328386,,,,0.08231114,90.71304001,87.63908794,90.52218367,61.47621586
Dataverse-Test($),269.4534541,3.328585656,3.319575501,3.332587612,5.860230285,12.96154267,87.98244995,90.90117048,61.76731199
potree($),266.9997724,69.10549594,62.43775675,69.12235022,66.33416946,,,,
Potree-computing($),252.5518209,,,,0.557811385,69.01177627,66.89828844,69.13832751,46.94561726
Test-Dataverse-Rocky9($),252.478586,,,,0.092959261,69.52464838,66.84845208,69.10402809,46.90849824
Production-Processing($),125.9488854,,,,0.046400658,34.52674871,33.41236044,34.52804352,23.43533211
Dataverse Production  ($),95.51326676,12.4812156,12.17110086,12.48118529,12.48119568,12.48118168,12.48117485,12.48119249,8.455020308
Dataverse-Test-storage($),10.69280269,,,,0.000030929,3.001830393,2.873750871,2.86008663,1.957103871
LARIAC($),4.342400138,0.660336972,0.55964457,0.548121861,0.547062054,0.548861791,0.564980695,0.54376255,0.369629646
LARIAC test($),1.634554598,0.213684517,0.213439772,0.213707793,0.213793991,0.21242581,0.211775855,0.211187011,0.14453985
LARIAC backup($),0.567744105,0.074205541,0.074095926,0.074195919,0.074426228,0.073761146,0.073528141,0.07333359,0.050197614
SSDA($),0.16184356,0.017602698,0.013503045,0.013482803,0.020344031,0.040757722,0.033048345,0.014173516,0.008931401
billing-info($),0.149545099,0.015699281,0.016160891,0.017020944,0.029160683,0.018419526,0.019102437,0.019891092,0.014090245
test-3d($),0.002432427,0.000326203,0.000290901,0.000330285,0.000320531,0.000312601,0.000305409,0.000319458,0.00022704
Total costs($),7180.708786,930.3755983,912.6829489,936.7948062,924.5487496,949.9482678,925.4642023,937.8927628,663.00145
