date,datasets_published,files_published,downloads
2019-04,1,8,0
2019-05,1,8,2
2019-06,1,8,2
2019-07,1,8,3
2019-08,2,5,26
2019-09,4,15,42
2019-10,5,19,54
2019-11,5,18,199
2019-12,5,18,213
2020-01,9,25,229
2020-02,9,25,236
2020-03,10,26,236
2020-04,13,34,270
2020-05,14,43,316
2020-06,21,51,348
2020-07,23,55,358
2020-08,21,61,447
2020-09,24,74,466
2020-10,19,74,512
2020-11,27,200,542
2020-12,28,247,602
2021-01,28,295,610
2021-02,29,380,622
2021-03,43,428,630
2021-04,52,470,639
2021-05,54,547,656
2021-06,65,547,954
2021-07,67,603,1019
2021-08,69,621,911
2021-09,86,750,1089
2021-10,122,3653,1116
2021-11,182,4187,1216
2021-12,186,4213,1339
2022-01,189,4166,1381
2022-02,189,4228,1652
2022-03,189,4168,1690
2022-04,179,4243,1761
2022-05,202,4793,1891
2022-06,206,6964,2018
2022-07,223,6979,4261
2022-08,228,6987,4324
2022-09,229,6989,4416
2022-10,235,6958,8823
2022-11,236,7032,9104
2022-12,269,7693,11392
2023-01,269,7693,16225
2023-02,275,7852,21183
2023-03,283,8003,23165
2023-04,287,8230,25714
2023-05,289,8234,28496
2023-06,289,8234,28936
2023-07,290,9300,42715
2023-08,292,9305,43602
2023-09,292,9305,46890
2023-10,293,9306,49625
2023-11,293,9306,49958
2023-12,294,9314,50421
2024-01,294,9314,53001
2024-02,296,9331,53449
2024-03,297,9352,60152
2024-04,302,9387,63223
2024-05,304,9400,66056
2024-06,308,9418,67402
2024-07,317,10999,68134
2024-08,327,11834,68745
2024-09,334,11973,69470
2024-10,336,12713,79044
2024-11,330,14913,88343
2024-12,332,14922,98494
2025-01,333,14966,101495
2025-02,362,16166,104950
2025-03,363,16197,107315
2025-04,364,16325,109597
2025-05,364,16325,118601
2025-06,364,16325,119662
2025-07,365,16326,123757
2025-08,365,16326,126552
2025-09,366,16833,134814
2025-10,367,18366,136207
2025-11,374,25318,141229
2025-12,376,25323,142277
2026-01,377,25330,143410
2026-02,377,25330,143414
